SID	Word	POS
599	so-called	adj.
600	somehow	adv.
601	sometime	adv.
602	sophisticated	adj.
603	spare	adj.
604	specialize	v.
605	specify	v.
606	spectacular	adj.
607	spectator	n.
608	speculate	v.
609	speculation	n.
610	spice	n.
611	spill	v.
612	spite	n.
613	spoil	v.
614	spokesman	n.
615	spokesperson	n.
616	spokeswoman	n.
617	sponsorship	n.
618	sporting	adj.
619	stall	n.
620	stance	n.
621	starve	v.
622	steadily	adv.
623	steam	n.
624	stimulate	v.
625	strengthen	v.
626	strictly	adv.
627	stroke	n.
628	stunning	adj.
629	subsequent	adj.
630	subsequently	adv.
631	suburb	n.
632	suffering	n.
633	sufficient	adj.
634	sufficiently	adv.
635	super	adj.
636	surgeon	n.
637	survival	n.
638	survivor	n.
639	suspend	v.
640	sustainable	adj.
641	swallow	v.
642	sympathetic	adj.
643	tackle	v.
644	tag	n.
645	tag	v.
646	tap	v.
647	tap	n.
648	technological	adj.
649	teens	n.
650	temple	n.
651	temporarily	adv.
652	tendency	n.
653	tension	n.
654	terminal	n.
655	terms	n.
656	terribly	adv.
657	terrify	v.
658	territory	n.
659	terror	n.
660	terrorism	n.
661	terrorist	n.
662	testing	n.
663	textbook	n.
664	theft	n.
665	therapist	n.
666	thesis	n.
667	thorough	adj.
668	thoroughly	adv.
669	thumb	n.
670	timing	n.
671	tissue	n.
672	ton	n.
673	tonne	n.
674	tournament	n.
675	trace	v.
676	trading	n.
677	tragedy	n.
678	tragic	adj.
679	trait	n.
680	transmit	v.
681	transportation	n.
682	trap	v.
683	trap	n.
684	treasure	n.
685	tribe	n.
686	trigger	v.
687	trillion	num.
688	troop	n.
689	tsunami	n.
690	ultimate	adj.
691	unacceptable	adj.
692	uncertainty	n.
693	undergo	v.
694	undertake	v.
695	unfold	v.
696	unfortunate	adj.
697	unite	v.
698	unity	n.
699	universal	adj.
700	urgent	adj.
701	usage	n.
702	useless	adj.
703	valid	adj.
704	variation	n.
705	vertical	adj.
706	viewpoint	n.
707	visa	n.
708	visible	adj.
709	voluntary	adj.
710	voting	n.
711	wander	v.
712	warming	n.
713	weekly	adj.
714	weird	adj.
715	welfare	n.
716	wheat	n.
717	whoever	pron.
718	widespread	adj.
719	wisdom	n.
720	withdraw	v.
721	workforce	n.
722	workplace	n.
723	workshop	n.
724	worm	n.
725	wrist	n
